Ranking,Gestora,Score,VVs,Camas,Camas/VV,Islas,Municipios,Complejos,Concentracion,Score Complejos,Lat,Lon,Direccion Ejemplo,Map URL
75,"Jardines Canarios",38,7,33,4.7,"Tenerife","Arona, Adeje","",85,0,28.045516,-16.690995,"Avenida Juan Carlos I, Apt. Jardines Canarios, Nº 33, Escalera 1 Piso 07 Puerta C1",http://localhost:3000/installer/prospecting?lat=28.045516&lon=-16.690995&zoom=15
76,"Neptuno",38,10,40,4,"Tenerife","San Cristobal De La Laguna, Santiago Del Teide, Arona","",70,0,28.311987,-16.715188,"Ctra. Gral. De Bajamar, Nº 165, Pta. 2",http://localhost:3000/installer/prospecting?lat=28.311987&lon=-16.715189&zoom=15
77,"Borza Real Estate",38,7,22,3.1,"Tenerife","Adeje, Arona","",85,0,28.055022,-16.697783,"Cl Italia  6 A",http://localhost:3000/installer/prospecting?lat=28.055022&lon=-16.697783&zoom=15
78,"Adriana",38,7,23,3.3,"Tenerife, Fuerteventura","Granadilla De Abona, Pájara","",85,0,28.091456,-16.224225,"Calle Pasaje Taguluche 2   2 A",http://localhost:3000/installer/prospecting?lat=28.091456&lon=-16.224225&zoom=15
79,"Casa Famara",38,7,33,4.7,"Lanzarote","Tias, Teguise","",85,0,29.005139,-13.585149,"Calle Pardelera, 30 35572    , Tias, Tias, Lanzarote",http://localhost:3000/installer/prospecting?lat=29.005139&lon=-13.585149&zoom=15
80,"Autos Ucanca S.L.",38,16,56,3.5,"Lanzarote","Tias, Yaiza, Teguise, San Bartolome","",55,0,28.901679,-13.785574,"Calle Guanapay 6    107",http://localhost:3000/installer/prospecting?lat=28.901679&lon=-13.785574&zoom=15
81,"La Quinta",37,6,24,4,"Tenerife","Santa Ursula, Adeje","",85,0,28.373434,-16.541045,"Urb. La Quinta, C/ Codeso, 16 C",http://localhost:3000/installer/prospecting?lat=28.373434&lon=-16.541045&zoom=15
82,"Las Dunas",37,6,32,5.3,"Tenerife, Fuerteventura","Granadilla De Abona, La Oliva","",85,0,28.557069,-14.531697,"Calle Tinguaro 1  1",http://localhost:3000/installer/prospecting?lat=28.557068&lon=-14.531697&zoom=15
83,"Jardines Del Sur",37,6,31,5.2,"Tenerife, _U","Adeje, Arona","",85,0,28.069772,-16.72082,"C/ Teobaldo Power, 16",http://localhost:3000/installer/prospecting?lat=28.069772&lon=-16.720820&zoom=15
84,"Los Patios",37,6,28,4.7,"Tenerife, Lanzarote","Granadilla De Abona, Tias","",85,0,28.197665,-16.063944,"Calle Plaza Alcalde Antonio Garcia Osorio, 6, Resid. Los Patios, Vda. 3ºa",http://localhost:3000/installer/prospecting?lat=28.197665&lon=-16.063944&zoom=15
85,"Sunny Beach",37,6,20,3.3,"Tenerife, Gran Canaria","Icod De Los Vinos, San Bartolome De Tirajana","",85,0,28.256166,-16.492081,"C/ Las Americas, 46, Vda. 711",http://localhost:3000/installer/prospecting?lat=28.256166&lon=-16.492081&zoom=15
86,"Casa Blanca",37,53,293,5.5,"Tenerife, Gran Canaria, La Palma, La Gomera, El Hierro, Fuerteventura, Lanzarote","Arico, Adeje, Arona, Santa Lucia De Tirajana, San Bartolome De Tirajana, San Miguel De Abona, Granadilla De Abona, Los Realejos, Santa Cruz Tenerife, San Cristobal De La Laguna, Santa Ursula, Puerto De La Cruz, Puntagorda, Valle Gran Rey, Vallehermoso, El Pinar De El Hierro, Las Palmas De Gran Canaria, Mogan, Moya, Telde, Tuineje, La Oliva, Antigua, Yaiza, Tias, Teguise, La Matanza De Acentejo, Guia Isora, Tacoronte","",0,0,28.413412,-15.285337,"Urb Casa Blanca Sn Pt B11",http://localhost:3000/installer/prospecting?lat=28.413412&lon=-15.285337&zoom=15
87,"Ocean View",37,57,234,4.1,"Tenerife, Gran Canaria, Fuerteventura, Lanzarote","Adeje, Arona, Tacoronte, San Miguel De Abona, Puerto De La Cruz, Santa Cruz Tenerife, Arucas, Mogan, Tuineje, La Oliva, Puerto Del Rosario, Antigua, Tias, San Bartolome, Teguise, Yaiza, Santiago Del Teide","",0,0,28.414992,-15.650661,"Calle Venezuela Nº20 ,Puerta 215",http://localhost:3000/installer/prospecting?lat=28.414992&lon=-15.650661&zoom=15
88,"Tegueste",37,6,21,3.5,"Tenerife, Gran Canaria","Arona, Santa Lucia De Tirajana","",85,0,27.869079,-15.654703,"Calle Cernicalo, Nº20, Piso 2, Puerta 4",http://localhost:3000/installer/prospecting?lat=27.869079&lon=-15.654703&zoom=15
89,"Casas Blancas",37,6,19,3.2,"Gran Canaria, Tenerife","La Aldea De San Nicolas, Arona","",85,0,28.043777,-16.573631,"Casas Blancas   S/N - Pasaje Llano Blanco (Tasartico)",http://localhost:3000/installer/prospecting?lat=28.043777&lon=-16.573631&zoom=15
90,"Inversiones Boncanar, S.L.",37,6,19,3.2,"Gran Canaria","San Bartolome De Tirajana, Las Palmas De Gran Canaria","",85,0,27.782526,-15.642441,"Calle Driver S/N",http://localhost:3000/installer/prospecting?lat=27.782526&lon=-15.642441&zoom=15
